date,value
1990,25.910213556174583
1991,26.06076190476194
1992,26.99530791788863
1993,26.159890109890178
1994,27.932738095238143
1995,27.622010582010578
1996,26.692196531791865
1997,27.739268051434234
1998,27.589169000933722
1999,26.56023054755039
2000,25.769366852886353
2001,25.525023342670398
2002,25.93399061032862
2003,25.553333333333285
2004,25.75926993275692
2005,26.741738299904412
2006,25.944539411205916
2007,25.447687861271497
2008,25.220590951061663
2009,25.743969610636118
2010,25.303693444136506
2011,25.89397260273957
2012,26.212750455373197
2013,25.844196843082408
2014,25.512785388127615
2015,26.627031963470092
