Brochure_Name_En,Geo_Unit_En,Period_Id,Datum
"Reported cases of malaria, total",Latin Caribbean,2012,27816
"Reported cases of malaria, total",Latin Caribbean,2013,22460
"Reported cases of malaria, total",Latin Caribbean,2014,18683
"Reported cases of malaria, total",Latin Caribbean,2015,18683
"Reported cases of malaria, total",Latin Caribbean,2016,22521
"Reported cases of malaria, total",Latin Caribbean,2017,377
"Reported cases of malaria, total",Martinique,1997,19
"Reported cases of malaria, total",Martinique,1998,19
"Reported cases of malaria, total",Martinique,1999,13
"Reported cases of malaria, total",Martinique,2000,7
"Reported cases of malaria, total",Martinique,2001,11
"Reported cases of malaria, total",Martinique,2002,12
"Reported cases of malaria, total",Martinique,2003,16
"Reported cases of malaria, total",Martinique,2004,10
"Reported cases of malaria, total",Martinique,2006,10
"Reported cases of malaria, total",Martinique,2008,14
"Reported cases of malaria, total",Martinique,2009,11
"Reported cases of malaria, total",Martinique,2010,7
"Reported cases of malaria, total",Martinique,2011,13
"Reported cases of malaria, total",Martinique,2012,1
"Reported cases of malaria, total",Martinique,2014,5
"Reported cases of malaria, total",Martinique,2015,4
"Reported cases of malaria, total",Martinique,2016,2
"Reported cases of malaria, total",Puerto Rico,2000,1
"Reported cases of malaria, total",Puerto Rico,2001,0
"Reported cases of malaria, total",Puerto Rico,2002,1
"Reported cases of malaria, total",Puerto Rico,2003,1
"Reported cases of malaria, total",Puerto Rico,2004,0
"Reported cases of malaria, total",Puerto Rico,2005,1
"Reported cases of malaria, total",Puerto Rico,2006,2
"Reported cases of malaria, total",Puerto Rico,2007,3
"Reported cases of malaria, total",Puerto Rico,2010,5
"Reported cases of malaria, total",Puerto Rico,2012,1
"Reported cases of malaria, total",Puerto Rico,2013,1
"Reported cases of malaria, total",Puerto Rico,2015,0
"Reported cases of malaria, total",Puerto Rico,2016,3
