Period_Id,Datum
1990,28882.0
1991,33705.0
1992,54922.0
1993,98557.0
1994,122039.0
1995,190521.0
1996,211561.0
1997,180338.0
1998,247229.0
1999,161292.0
2000,68321.0
2001,78544.0
2002,99237.0
2003,88408.0
2004,93581.0
2005,87699.0
2006,64925.0
2007,50797.0
2008,44522.0
2009,42645.0
2010,33778.0
2011,22878.0
2012,31436.0
2013,43139.0
2014,64676.0
2015,66609.0
2016,56623.0
