Period_Id,Datum
2000,53.0
2001,
2002,29.0
2003,30.0
2004,26.0
2005,9.0
2006,33.0
2007,19.0
2009,7.0
2011,28.0
2012,32.0
2013,48.0
2014,37.0
2016,71.0
2017,36.0
