Period_Id,Datum
1990,144429.0
1991,172490.0
1992,172822.0
1993,155869.0
1994,143677.0
1995,185990.0
1996,206122.0
1997,163777.0
1998,135193.0
1999,143947.0
2000,117468.0
2001,74270.0
2002,64974.0
2003,58354.0
2004,60707.0
2005,71044.0
2006,51589.0
2007,30640.0
2008,18611.0
2009,18327.0
2010,18281.0
2011,15827.0
2012,13925.0
2013,13580.0
2014,10381.0
2015,12012.0
2016,16078.0
