Period_Id,Datum
1990,53099.0
1991,73352.0
1992,70838.0
1993,51977.0
1994,61736.0
1995,74346.0
1996,91799.0
1997,67870.0
1998,44337.0
1999,51911.0
2000,35125.0
2001,24149.0
2002,17223.0
2003,14123.0
2004,17293.0
2005,16007.0
2006,11923.0
2007,10513.0
2008,8368.0
2009,9321.0
2010,9685.0
2011,7615.0
2012,6434.0
2013,5428.0
2014,3380.0
2015,3575.0
2016,4097.0
